"stanice","natural","diesel","okres","kraj"
"Benzina, Vídeňská 394, Nová Bystřice",34.3,33.9,"Jindřichův Hradec","Jihočeský"
"Swiss Tank, Švermova 288, Nová Bystřice",33.9,33.9,"Jindřichův Hradec","Jihočeský"
"ČS Mostek, Mostek 150",35.5,34.9,"Trutnov","Královéhradecký"
"Adosa, Moutnice, Moutnice",35.9,34.9,"Brno-venkov","Jihomoravský"
"Adosa, Nádražní, Židlochovice",35.2,35.1,"Brno-venkov","Jihomoravský"
"Slovnaft, směr Praha, Čimelice",36.2,35.8,"Písek","Jihočeský"
"OMV, Moskevská 1480/26b, Havířov",37.2,36.4,"Karviná","Moravskoslezský"
"Benzina, silnice 19, Orlík nad Vltavou-Staré Sedlo",35.5,35.5,"Písek","Jihočeský"
"Shell Czech Republic, a.s., Velkomoravská 17, Olom",37.3,36.7,"Olomouc","Olomoucký"
"Benzina, Blatnická 1673, Veselí nad Moravou",33.8,32.9,"Hodonín","Jihomoravský"
"Prim, Úněšov",32.9,32.9,"Plzeň-sever","Plzeňský"
"SP Servis, Hlavní 1164, Svatobořice-Mistřín",36.5,35.9,"Hodonín","Jihomoravský"
"Shell Czech Republic, a.s., Místecká, Ostrava-Hrab",36.9,36.7,"Ostrava-město","Moravskoslezský"
"Shell Czech Republic, a.s., Těšínská 2814/35,Opava",36.9,36.9,"Opava","Moravskoslezský"
"Globus, Těšínská 2782/81, Opava",35.5,34.5,"Opava","Moravskoslezský"
"Oktan, Jasmínová 565/34, Plzeň 2-Slovany",35.7,34.9,"Plzeň-město","Plzeňský"
"Albert ČS, Písecká 972/1, Plzeň-Černice",36.4,35.4,"Plzeň-město","Plzeňský"
"Cafro Plus, Valašské Meziříčí-Poličná",34.5,34.5,"Vsetín","Zlínský"
"Vena Trade, Železničního vojska 1384, Valašské Mez",35.5,34.9,"Vsetín","Zlínský"
"Benzina, Rožnovská, Valašské Meziříčí",36.9,36.9,"Vsetín","Zlínský"
"Benzina, Hranická 59, Odry",36.9,36.2,"Nový Jičín","Moravskoslezský"
"Jitka Soukupová, Dukelská třída 990, Nový Bydžov",35.5,35.9,"Hradec Králové","Královéhradecký"
"Benzina Plus, D2, směr Břeclav, Starovičky",38.9,38.9,"Břeclav","Jihomoravský"
"Agip, dálnice D2, směr Brno, Velké Němčice",39.9,39.9,"Břeclav","Jihomoravský"
"OMV, dálnice D2, směr Břeclav, Brno-Dolní Heršpice",39.9,39.9,"Brno-město","Jihomoravský"
"Shell Czech Republic, a.s., dálnice D2, směr Brno,",39.9,39.9,"Břeclav","Jihomoravský"
"Shell Czech Republic, a.s., dálnice D5, směr Plzeň",39.9,39.9,"Rokycany","Plzeňský"
"Shell Czech Republic, a.s., dálnice D2, směr Brati",39.9,39.9,"Břeclav","Jihomoravský"
"EKOS, Netolice",35.9,35,"Prachatice","Jihočeský"
